id,name,party,partyLabel,votes,election,electionLabel,ranking
Q581095,Kerry McCarthy,Q9630,Labour Party (UK),27717,Q30173038,General election 2019,1
,Sarah Codling,Q9626,Conservative Party (UK),16923,Q30173038,General election 2019,2
,Nicholas Coombes,Q9624,Liberal Democrats (UK),3527,Q30173038,General election 2019,3
,Conan Connolly,Q9669,Green Party of England and Wales,2106,Q30173038,General election 2019,4
,Tim Page,Q61651140,Brexit Party,1881,Q30173038,General election 2019,5
Q581095,Kerry McCarthy,Q9630,Labour Party (UK),30847,Q25052149,General election 2017,1
Q75583507,Theodora Clarke,Q9626,Conservative Party (UK),17453,Q25052149,General election 2017,2
,Chris Lucas,Q9624,Liberal Democrats (UK),1389,Q25052149,General election 2017,3
,Lorraine Francis,Q9669,Green Party of England and Wales,1110,Q25052149,General election 2017,4
Q581095,Kerry McCarthy,Q9630,Labour Party (UK),18148,Q3586935,General election 2015,1
Q75583507,Theodora Clarke,Q9626,Conservative Party (UK),14168,Q3586935,General election 2015,2
,James McMurray,Q10647,UKIP,7152,Q3586935,General election 2015,3
,Lorraine Francis,Q9669,Green Party of England and Wales,3827,Q3586935,General election 2015,4
,Abdul Malik,Q9624,Liberal Democrats (UK),2689,Q3586935,General election 2015,5
,Matt Gordon,Q980923,Trade Unionist and Socialist Coalition,229,Q3586935,General election 2015,6
Q581095,Kerry McCarthy,Q9630,Labour Party (UK),16471,Q215622,General election 2010,1
,Adeela Shafi,Q9626,Conservative Party (UK),12749,Q215622,General election 2010,2
,Mike Popham,Q9624,Liberal Democrats (UK),10993,Q215622,General election 2010,3
,Brian Jenkins,Q161269,British National Party,1960,Q215622,General election 2010,4
,Philip Collins,Q10647,UK Independence Party,1510,Q215622,General election 2010,5
,Glenn Vowles,Q9669,Green Party of England and Wales,803,Q215622,General election 2010,6
,Stephen Wright,Q2479228,English Democrats,347,Q215622,General election 2010,7
,Rae Lynch,Q980923,Trade Unionist and Socialist Coalition,184,Q215622,General election 2010,8
Q581095,Kerry McCarthy,Q9630,Labour Party (UK),19152,Q428598,General election 2005,1
,Philip James,Q9624,Liberal Democrats (UK),10531,Q428598,General election 2005,2
,Julia Manning,Q9626,Conservative Party (UK),8787,Q428598,General election 2005,3
,Arjuna Krishna-Das,Q9669,Green Party of England and Wales,1586,Q428598,General election 2005,4
,Jean Smith,Q10647,UK Independence Party,1132,Q428598,General election 2005,5
,Paulette North,Q287031,RESPECT The Unity Coalition,532,Q428598,General election 2005,6
Q334443,Jean Corston,Q9630,Labour Party (UK),22180,Q590740,General election 2001,1
Q695257,Jack Lopresti,Q9626,Conservative Party (UK),8788,Q590740,General election 2001,2
,Brian Niblett,Q9624,Liberal Democrats (UK),6915,Q590740,General election 2001,3
,Geoff Collard,Q9669,Green Party of England and Wales,1110,Q590740,General election 2001,4
,Roger Marsh,Q10647,UK Independence Party,572,Q590740,General election 2001,5
